respondent id,agency code,loan type,property type,loan purpose,owner occ,loan amount,pre approval,action taken,msa/md,state,county,census tract,applicant ethnicity,coapp ethnicity,applicant race 1,coapp race,sex,coapp sex,income,type of purchaser,denial reason 1,denial reason 2,denial reason 3,rate of spread,hoepa status,lien status
7197000003,7,1,1,3,1,145,3,1,33460,27,003,0502.28,2,5,5,8,2,5,37,1,,,,NA,2,1
7197000003,7,3,1,1,1,201,2,1,NA,27,093,5603.00,3,5,6,8,3,5,126,2,,,,NA,2,1
7197000003,7,1,1,1,1,89,2,1,33460,27,053,0210.01,2,5,5,8,2,5,70,3,,,,NA,2,1
7197000003,7,1,1,3,1,125,3,1,NA,27,001,7703.00,2,2,5,5,1,2,44,1,,,,NA,2,1
7197000003,7,1,1,3,1,291,3,3,33460,27,163,0712.07,2,5,5,8,1,5,113,0,6,7,9,NA,2,1
7197000003,7,1,1,3,1,353,3,3,33460,27,163,0710.18,2,3,6,6,1,3,119,0,7,,,NA,2,1
7197000003,7,1,1,3,1,332,3,3,33460,27,139,0808.00,2,3,5,6,1,2,100,0,7,,,NA,2,1
7197000003,7,1,1,1,1,154,2,1,33460,27,003,0502.26,2,5,5,8,1,5,34,3,,,,NA,2,1
7197000003,7,1,1,1,1,190,2,1,33460,27,053,0239.03,3,5,6,8,2,5,47,1,,,,NA,2,1
7197000003,7,1,1,3,1,174,3,1,33460,27,171,1011.00,2,2,5,5,1,2,68,1,,,,NA,2,1
7197000003,7,1,1,3,1,127,3,1,33460,27,053,0119.98,3,5,6,8,3,5,53,1,,,,NA,2,1
7197000003,7,2,1,3,1,196,3,3,33460,27,123,0322.00,2,5,5,8,1,5,92,0,7,,,NA,2,1
7197000003,7,1,1,3,1,184,3,1,33460,27,139,0803.01,2,3,5,6,2,3,81,1,,,,NA,2,1
7197000003,7,1,1,3,1,121,3,1,33460,27,003,0502.29,2,5,5,8,1,5,57,1,,,,NA,2,1
7197000003,7,1,1,3,1,100,3,1,41060,27,145,0006.02,3,5,6,8,3,5,61,1,,,,NA,2,1
7197000003,7,1,1,3,1,85,3,1,NA,27,051,0701.00,2,2,5,5,1,2,28,1,,,,NA,2,1
7197000003,7,1,1,3,1,156,3,3,33460,27,003,0502.17,3,3,6,6,3,3,75,0,5,,,NA,2,1
7197000003,7,3,1,3,1,179,3,1,33460,27,037,0608.17,2,2,5,5,1,2,103,2,,,,NA,2,1
7197000003,7,1,1,3,1,189,3,1,33460,27,059,1305.01,3,5,6,8,3,5,50,3,,,,NA,2,1
7197000003,7,1,1,3,1,87,3,1,33460,27,053,0081.00,2,5,5,8,1,5,42,1,,,,NA,2,1
